iter	Passed	Remaining
0	154	154485
1	156	78254
2	157	52479
3	159	39602
4	160	31875
5	161	26690
6	162	22986
7	162	20190
8	163	18017
9	164	16269
10	165	14899
11	166	13716
12	167	12714
13	168	11870
14	169	11122
15	170	10462
16	171	9898
17	172	9407
18	173	8941
19	174	8545
20	177	8252
21	178	7918
22	179	7610
23	180	7320
24	180	7049
25	181	6796
26	182	6559
27	182	6340
28	183	6135
29	184	5951
30	185	5783
31	186	5632
32	187	5489
33	188	5351
34	189	5222
35	190	5093
36	190	4968
37	191	4848
38	192	4735
39	193	4633
40	193	4532
41	194	4438
42	195	4345
43	196	4261
44	196	4179
45	197	4101
46	198	4030
47	199	3960
48	200	3889
49	201	3826
50	202	3771
51	203	3715
52	204	3657
53	205	3600
54	206	3546
55	207	3492
56	208	3441
57	208	3391
58	209	3344
59	210	3298
60	211	3253
61	212	3210
62	213	3169
63	213	3128
64	215	3094
65	216	3063
66	217	3027
67	217	2985
68	218	2947
69	219	2913
70	220	2878
71	220	2846
72	221	2814
73	222	2782
74	223	2753
75	224	2724
76	224	2696
77	225	2668
78	226	2643
79	227	2617
80	228	2591
81	229	2566
82	230	2546
83	231	2523
84	232	2498
85	232	2475
86	233	2450
87	234	2431
88	235	2410
89	236	2389
90	237	2368
91	237	2348
92	238	2328
93	239	2307
94	240	2288
95	241	2269
96	242	2253
97	242	2236
98	243	2219
99	244	2203
100	246	2190
101	246	2173
102	247	2159
103	248	2142
104	249	2127
105	250	2112
106	251	2097
107	252	2082
108	253	2068
109	253	2053
110	254	2039
111	255	2025
112	256	2011
113	257	1997
114	257	1983
115	258	1968
116	259	1956
117	260	1950
118	261	1939
119	263	1929
120	263	1917
121	264	1905
122	265	1890
123	265	1879
124	266	1867
125	267	1855
126	268	1844
127	268	1831
128	269	1821
129	270	1810
130	271	1800
131	272	1789
132	273	1779
133	273	1769
134	275	1763
135	276	1758
136	278	1752
137	278	1742
138	279	1733
139	280	1724
140	281	1715
141	282	1706
142	283	1697
143	284	1689
144	285	1681
145	286	1673
146	286	1664
147	287	1656
148	288	1648
149	289	1642
150	291	1637
151	292	1631
152	293	1624
153	294	1616
154	295	1609
155	296	1601
156	296	1594
157	297	1587
158	298	1579
159	299	1572
160	300	1565
161	301	1558
162	302	1551
163	303	1544
164	303	1537
165	305	1533
166	306	1529
167	307	1524
168	308	1518
169	309	1512
170	310	1507
171	311	1501
172	312	1494
173	313	1488
174	314	1482
175	315	1476
176	316	1470
177	317	1464
178	318	1459
179	319	1454
180	320	1448
181	321	1445
182	323	1444
183	324	1438
184	325	1432
185	326	1427
186	327	1422
187	327	1416
188	328	1411
189	329	1405
190	330	1400
191	331	1395
192	332	1391
193	333	1386
194	334	1381
195	336	1379
196	337	1377
197	339	1373
198	339	1368
199	340	1363
200	341	1358
201	342	1353
202	343	1348
203	344	1343
204	345	1339
205	346	1334
206	347	1330
207	348	1326
208	349	1321
209	350	1317
210	351	1314
211	352	1312
212	353	1307
213	354	1303
214	355	1298
215	356	1295
216	357	1291
217	358	1286
218	359	1282
219	360	1279
220	361	1275
221	362	1270
222	363	1266
223	364	1262
224	365	1259
225	367	1256
226	368	1253
227	368	1249
228	369	1245
229	370	1240
230	371	1236
231	372	1232
232	373	1228
233	374	1224
234	374	1220
235	375	1216
236	376	1212
237	377	1208
238	378	1204
239	379	1200
240	379	1196
241	381	1194
242	382	1191
243	383	1188
244	384	1184
245	385	1180
246	386	1176
247	386	1173
248	387	1169
249	388	1166
250	390	1163
251	391	1161
252	392	1159
253	393	1156
254	394	1153
255	397	1155
256	398	1153
257	400	1150
258	401	1147
259	402	1144
260	403	1141
261	404	1138
262	405	1135
263	406	1132
264	407	1129
265	408	1126
266	408	1122
267	409	1119
268	410	1116
269	412	1114
270	412	1110
271	414	1108
272	415	1105
273	415	1101
274	416	1099
275	417	1096
276	418	1092
277	419	1089
278	420	1086
279	421	1083
280	422	1079
281	422	1076
282	423	1073
283	424	1070
284	425	1067
285	426	1065
286	427	1063
287	429	1061
288	430	1058
289	431	1055
290	432	1052
291	432	1049
292	433	1046
293	434	1043
294	435	1040
295	436	1037
296	437	1035
297	438	1031
298	438	1029
299	439	1026
300	440	1023
301	441	1021
302	443	1019
303	444	1016
304	445	1014
305	445	1011
306	447	1009
307	448	1007
308	449	1004
309	450	1003
310	451	1000
311	452	998
312	453	995
313	454	992
314	455	989
315	456	987
316	457	986
317	458	984
318	459	981
319	460	979
320	461	976
321	462	974
322	463	971
323	464	968
324	465	966
325	466	963
326	467	961
327	468	958
328	468	956
329	469	953
330	470	951
331	471	949
332	473	947
333	473	945
334	474	942
335	475	940
336	476	937
337	477	935
338	478	933
339	479	930
340	480	928
341	481	925
342	482	923
343	483	921
344	484	918
345	484	916
346	485	914
347	487	912
348	487	909
349	488	907
350	489	905
351	490	902
352	491	900
353	492	898
354	493	896
355	494	893
356	494	891
357	495	889
358	496	886
359	497	884
360	498	882
361	499	879
362	500	877
363	501	875
364	502	874
365	503	872
366	504	870
367	506	869
368	507	867
369	508	865
370	509	864
371	510	862
372	512	860
373	513	858
374	513	856
375	514	854
376	516	853
377	517	851
378	518	850
379	519	848
380	520	846
381	521	844
382	522	842
383	523	840
384	524	838
385	526	836
386	527	835
387	528	833
388	529	831
389	530	830
390	531	828
391	533	826
392	534	825
393	535	823
394	536	821
395	537	819
396	538	817
397	539	816
398	540	814
399	541	812
400	542	811
401	545	810
402	546	809
403	547	807
404	548	806
405	549	804
406	550	802
407	552	801
408	553	799
409	554	797
410	555	795
411	556	793
412	557	792
413	558	790
414	559	789
415	560	787
416	562	786
417	563	784
418	564	783
419	566	781
420	567	779
421	568	778
422	569	777
423	570	775
424	571	773
425	572	771
426	573	769
427	574	767
428	575	766
429	576	764
430	577	762
431	578	760
432	579	759
433	581	757
434	582	756
435	583	754
436	583	752
437	584	750
438	585	748
439	586	746
440	587	744
441	588	743
442	589	741
443	590	739
444	591	737
445	592	735
446	593	734
447	594	732
448	595	730
449	596	729
450	597	727
451	598	725
452	599	724
453	600	722
454	601	720
455	602	718
456	603	717
457	604	715
458	605	713
459	606	711
460	607	710
461	608	708
462	609	706
463	610	705
464	611	703
465	612	702
466	613	700
467	614	699
468	616	698
469	617	696
470	621	697
471	621	695
472	623	694
473	624	692
474	625	690
475	626	689
476	627	688
477	628	686
478	630	685
479	631	683
480	631	681
481	632	680
482	633	678
483	634	676
484	635	675
485	636	673
486	637	671
487	638	670
488	639	668
489	640	667
490	642	665
491	642	663
492	643	662
493	644	660
494	645	658
495	646	657
496	647	655
497	648	653
498	649	652
499	650	650
500	651	648
501	652	646
502	653	645
503	654	643
504	655	642
505	656	640
506	657	639
507	658	637
508	659	636
509	660	634
510	661	633
511	662	631
512	663	629
513	664	628
514	665	626
515	666	624
516	667	623
517	668	622
518	669	620
519	670	618
520	671	617
521	672	615
522	673	614
523	674	612
524	675	610
525	676	609
526	676	607
527	677	605
528	678	604
529	679	602
530	680	601
531	681	599
532	682	598
533	683	596
534	684	595
535	685	593
536	686	591
537	687	590
538	688	588
539	689	587
540	690	585
541	691	584
542	692	582
543	693	580
544	694	579
545	694	577
546	695	576
547	696	574
548	697	573
549	698	571
550	699	570
551	700	568
552	701	567
553	702	565
554	703	563
555	704	562
556	705	560
557	705	559
558	706	557
559	707	556
560	708	554
561	709	552
562	710	551
563	711	550
564	712	548
565	713	547
566	714	545
567	715	544
568	716	542
569	717	541
570	718	539
571	719	538
572	720	536
573	721	535
574	722	533
575	723	532
576	724	530
577	724	529
578	725	527
579	726	526
580	727	524
581	728	523
582	729	522
583	730	520
584	731	519
585	732	517
586	733	516
587	734	514
588	735	513
589	736	511
590	737	510
591	738	508
592	739	507
593	740	505
594	741	504
595	742	503
596	743	501
597	744	500
598	745	498
599	746	497
600	747	495
601	747	494
602	748	493
603	749	491
604	750	490
605	751	488
606	752	487
607	753	485
608	754	484
609	755	482
610	756	481
611	757	480
612	759	479
613	760	477
614	761	476
615	762	475
616	763	473
